"","EstablecimientoNombre","EstablecimientoRetc","DuctoId","NombreDucto","Informa","EfectuaDescarga","GlosaParametro","FrecuenciaExigida","ApruebaFrecuencia","PresentaRemuestra","ParametrosBajoNorma","FechaVerificacion"
"1","Empresa A",84917,335,"Ducto 335","NO","NO APLICA",NA,NA,NA,"NO APLICA","NO APLICA","2022-05-31 12:12:53"
"2","Empresa B",2689,351,"Ducto 351","SI","SI","pH",8,1,"NO APLICA","SI","2022-05-31 12:12:53"
"3","Empresa B",2689,351,"Ducto 351","SI","SI","Conductividad",NA,3,"NO APLICA","SI","2022-05-31 12:12:53"
"4","Empresa B",2689,351,"Ducto 351","SI","SI","DBO5",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"5","Empresa B",2689,351,"Ducto 351","SI","SI","Poder Espumógeno",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"6","Empresa B",2689,351,"Ducto 351","SI","SI","Temperatura",8,1,"NO APLICA","SI","2022-05-31 12:12:53"
"7","Empresa B",2689,351,"Ducto 351","SI","SI","Nitrógeno Total  Kjeldahl",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"8","Empresa B",2689,351,"Ducto 351","SI","SI","Aceites y Grasas",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"9","Empresa B",2689,351,"Ducto 351","SI","SI","Sólidos Suspendidos Totales",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"10","Empresa C",9560,292,"Ducto 292","NO","NO APLICA",NA,NA,NA,"NO APLICA","NO APLICA","2022-05-31 12:12:53"
"11","Empresa D",9763,321,"Ducto 321","SI","SI","Sólidos Suspendidos Totales",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"12","Empresa D",9763,321,"Ducto 321","SI","SI","Sulfato",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"13","Empresa D",9763,321,"Ducto 321","SI","SI","Hidrocarburos Fijos",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"14","Empresa D",9763,321,"Ducto 321","SI","SI","Temperatura",24,1,"NO APLICA","SI","2022-05-31 12:12:53"
"15","Empresa D",9763,321,"Ducto 321","SI","SI","Cobre",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"16","Empresa D",9763,321,"Ducto 321","SI","SI","pH",24,1,"NO APLICA","SI","2022-05-31 12:12:53"
"17","Empresa D",9763,321,"Ducto 321","SI","SI","Cloruros",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"18","Empresa D",9763,321,"Ducto 321","SI","SI","Triclorometano",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"19","Empresa D",9763,321,"Ducto 321","SI","SI","Caudal",30,1,"NO APLICA","SI","2022-05-31 12:12:53"
"20","Empresa D",9763,321,"Ducto 321","SI","SI","Zinc",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"21","Empresa D",9763,321,"Ducto 321","SI","SI","Hierro Disuelto",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"22","Empresa D",9763,321,"Ducto 321","SI","SI","Boro",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"23","Empresa D",9763,321,"Ducto 321","SI","SI","Aceites y Grasas",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"24","Empresa D",9763,988,"Ducto 988","SI","NO",NA,NA,NA,"NO APLICA","NO APLICA","2022-05-31 12:12:53"
